timestamp,sensor_id,sensor_type,value,x,y
2025-07-09T10:16:47.550571,0,temperature,21.552436825374837,0.0,0.0
2025-07-09T10:16:47.550571,1,accelerometer,0.04570046848608045,0.2,0.1
2025-07-09T10:16:47.550571,2,strain_gauge,0.008950619419306274,0.4,0.2
2025-07-09T10:16:47.550571,3,pressure,1005.6812573537245,0.6,0.3
2025-07-09T10:16:47.550571,4,ultrasonic,1.8846459681813887,0.8,0.4
2025-07-09T10:16:47.550571,5,laser,0.9040480431944546,1.0,0.5
2025-07-09T10:16:48.551919,0,temperature,23.452290551084523,0.0,0.0
2025-07-09T10:16:48.551919,1,accelerometer,0.4051932328649639,0.2,0.1
2025-07-09T10:16:48.551919,2,strain_gauge,0.0036870678541395877,0.4,0.2
2025-07-09T10:16:48.551919,3,pressure,1014.8595643462971,0.6,0.3
2025-07-09T10:16:48.551919,4,ultrasonic,0.5406906606485586,0.8,0.4
2025-07-09T10:16:48.551919,5,laser,0.5904668007932171,1.0,0.5
2025-07-09T10:16:49.552728,0,temperature,22.39890841113671,0.0,0.0
2025-07-09T10:16:49.552728,1,accelerometer,0.6596446660204391,0.2,0.1
2025-07-09T10:16:49.552728,2,strain_gauge,0.005126239025224068,0.4,0.2
2025-07-09T10:16:49.552728,3,pressure,1012.1086396308829,0.6,0.3
2025-07-09T10:16:49.552728,4,ultrasonic,0.08684209142885213,0.8,0.4
2025-07-09T10:16:49.552728,5,laser,0.21493438653249808,1.0,0.5
2025-07-09T10:16:50.553279,0,temperature,18.120019262900993,0.0,0.0
2025-07-09T10:16:50.553279,1,accelerometer,-0.5538327977729278,0.2,0.1
2025-07-09T10:16:50.553279,2,strain_gauge,0.005548480047296114,0.4,0.2
2025-07-09T10:16:50.553279,3,pressure,1009.9593826043289,0.6,0.3
2025-07-09T10:16:50.553279,4,ultrasonic,1.3971902676197123,0.8,0.4
2025-07-09T10:16:50.553279,5,laser,0.10756393649961538,1.0,0.5
2025-07-09T10:16:51.554339,0,temperature,20.30311591525657,0.0,0.0
2025-07-09T10:16:51.554339,1,accelerometer,-0.025790897840266558,0.2,0.1
2025-07-09T10:16:51.554339,2,strain_gauge,0.008783883313163692,0.4,0.2
2025-07-09T10:16:51.554339,3,pressure,1018.4353624916484,0.6,0.3
2025-07-09T10:16:51.554339,4,ultrasonic,1.6939444026268058,0.8,0.4
2025-07-09T10:16:51.554339,5,laser,0.9412085098306378,1.0,0.5
2025-07-09T10:16:52.554989,0,temperature,18.14705652671778,0.0,0.0
2025-07-09T10:16:52.554989,1,accelerometer,-0.22716170389780066,0.2,0.1
2025-07-09T10:16:52.554989,2,strain_gauge,0.00798900264371617,0.4,0.2
2025-07-09T10:16:52.554989,3,pressure,1013.0244705778392,0.6,0.3
2025-07-09T10:16:52.554989,4,ultrasonic,1.2733049659791456,0.8,0.4
2025-07-09T10:16:52.554989,5,laser,0.06556661197486735,1.0,0.5
2025-07-09T10:16:53.556570,0,temperature,19.778694474291537,0.0,0.0
2025-07-09T10:16:53.556570,1,accelerometer,-0.8766318074944768,0.2,0.1
2025-07-09T10:16:53.556570,2,strain_gauge,0.008185114758837469,0.4,0.2
2025-07-09T10:16:53.556570,3,pressure,1011.6628153845263,0.6,0.3
2025-07-09T10:16:53.556570,4,ultrasonic,0.8529604867194487,0.8,0.4
2025-07-09T10:16:53.556570,5,laser,0.684513568510095,1.0,0.5
2025-07-09T10:16:54.558301,0,temperature,19.00985304074335,0.0,0.0
2025-07-09T10:16:54.558301,1,accelerometer,-0.8883898118342923,0.2,0.1
2025-07-09T10:16:54.558301,2,strain_gauge,0.00356636738243694,0.4,0.2
2025-07-09T10:16:54.558301,3,pressure,1007.1554375293017,0.6,0.3
2025-07-09T10:16:54.558301,4,ultrasonic,0.9285031715851189,0.8,0.4
2025-07-09T10:16:54.558301,5,laser,0.35268544093930676,1.0,0.5
2025-07-09T10:16:55.560288,0,temperature,22.051761160209395,0.0,0.0
2025-07-09T10:16:55.560288,1,accelerometer,0.0358906769759717,0.2,0.1
2025-07-09T10:16:55.560288,2,strain_gauge,0.003230225597794496,0.4,0.2
2025-07-09T10:16:55.560288,3,pressure,1008.7975539511004,0.6,0.3
2025-07-09T10:16:55.560288,4,ultrasonic,0.5804435894748066,0.8,0.4
2025-07-09T10:16:55.560288,5,laser,0.7484968525959649,1.0,0.5
2025-07-09T10:16:56.561795,0,temperature,22.857659946129246,0.0,0.0
2025-07-09T10:16:56.561795,1,accelerometer,0.8421319907740761,0.2,0.1
2025-07-09T10:16:56.561795,2,strain_gauge,0.004450750999897013,0.4,0.2
2025-07-09T10:16:56.561795,3,pressure,1015.4020533505595,0.6,0.3
